g_elements_in.mortonCode, g_elements_in.elementIdx
829292103, 246
828869493, 247
944212350, 248
973113554, 249
973810439, 250
857995482, 251
944572950, 252
976224417, 253
512886380, 254
397668217, 255
366976034, 256
944587089, 257
973636586, 258
484120301, 259
829269443, 260
858013714, 261
973079158, 262
975178113, 263
858195924, 264
829396406, 265
513168235, 266
946412975, 267
944634611, 268
829218555, 269
944322775, 270
946543176, 271
855945058, 272
858277328, 273
945103936, 274
944313863, 275
828894529, 276
511882724, 277
944289417, 278
395761284, 279
828905236, 280
830309333, 281
944318001, 282
944319145, 283
944346756, 284
483620351, 285
512774790, 286
368748534, 287
369085071, 288
974237165, 289
827175603, 290
484174159, 291
512905690, 292
513016308, 293
827169552, 294
944334042, 295
484070966, 296
513461917, 297
829131559, 298
946566540, 299
484433595, 300
369080752, 301
973081417, 302
829793480, 303
829157291, 304
945538828, 305
858004830, 306
397443358, 307
855965422, 308
828830434, 309
368016427, 310
830279402, 311
511892938, 312
973484796, 313
858679452, 314
858034865, 315
973116247, 316
484146667, 317
397689320, 318
944555071, 319
512903998, 320
829230995, 321
368960041, 322
369097746, 323
483916804, 324
484174834, 325
944319511, 326
829242095, 327
944574234, 328
944440584, 329
944596537, 330
829283441, 331
944397563, 332
829285898, 333
397855231, 334
484143183, 335
973376378, 336
484142467, 337
397858840, 338
829238469, 339
944701770, 340
829269175, 341
944321900, 342
484080950, 343
946416833, 344
483609537, 345
946411142, 346
857987109, 347
398111966, 348
944349638, 349
589694280, 350
100393898, 351
675809452, 352
245066596, 353
129384141, 354
100662770, 355
706879281, 356
244764166, 357
100400162, 358
243754982, 359
675886086, 360
100661941, 361
100662547, 362
675905862, 363
561316526, 364
214663965, 365
244900546, 366
244503218, 367
128360248, 368
589576108, 369
100519636, 370
128993026, 371
560284542, 372
243559886, 373
560807417, 374
244732754, 375
589687738, 376
244480049, 377
704938387, 378
676072530, 379
560506367, 380
100627885, 381
704990108, 382
678106147, 383
589564969, 384
561548415, 385
100657555, 386
244459032, 387
129071557, 388
560835531, 389
215792085, 390
675885276, 391
214727076, 392
675914795, 393
590615025, 394
704776258, 395
128319910, 396
675916770, 397
215706908, 398
215743788, 399
98425985, 400
100630393, 401
215737638, 402
215706966, 403
129659891, 404
560833507, 405
677989688, 406
127326750, 407
217836560, 408
215539551, 409
560661032, 410
244468069, 411
129948040, 412
244714337, 413
560311019, 414
556643566, 415
129345064, 416
705124738, 417
100663024, 418
215476767, 419
244357464, 420
100486454, 421
215941705, 422
214520369, 423
675970090, 424
129056413, 425
244889936, 426
100645931, 427
215706662, 428
99732449, 429
676413293, 430
589411242, 431
215608619, 432
99520273, 433
215708405, 434
244485992, 435
675938262, 436
560740051, 437
675882070, 438
675365372, 439
676001142, 440
100381550, 441
100620792, 442
99982183, 443
244712505, 444
704918855, 445
590089013, 446
129371451, 447
215883068, 448
244472205, 449
215497969, 450
704660167, 451
675935767, 452
215905026, 453
100569318, 454
217806396, 455
100326901, 456
100573342, 457
100305417, 458
215706906, 459
560839891, 460
677935955, 461
560833004, 462
675907170, 463
560755116, 464
129420831, 465
675881400, 466
676182058, 467
215684595, 468
215711574, 469
129153723, 470
244336435, 471
589713589, 472
100574953, 473
100576795, 474
215633281, 475
560424221, 476
560538524, 477
215703652, 478
100626678, 479
129149765, 480
215706080, 481
215719373, 482
99591767, 483
558745917, 484
214842672, 485
215740646, 486
246563517, 487
560847240, 488
587518078, 489
100659080, 490
100559619, 491
99885519, 492
675916220, 493
215953401, 494
100659020, 495
215707000, 496
243424495, 497
100619309, 498
129923730, 499
245095000, 500
215967276, 501
215725847, 502
99947911, 503
129801580, 504
558744521, 505
704675906, 506
215689754, 507
676143274, 508
560591967, 509
129111307, 510
100641479, 511
100597185, 512
215689797, 513
675916674, 514
217791885, 515
215707024, 516
215706904, 517
705431983, 518
246565068, 519
244622094, 520
129392223, 521
676280046, 522
99842252, 523
676147999, 524
244468045, 525
100316319, 526
100651146, 527
589333254, 528
215968829, 529
706879906, 530
100098456, 531
215739973, 532
215905377, 533
675811565, 534
589565079, 535
244505677, 536
244472645, 537
215706901, 538
704976190, 539
129483067, 540
215699399, 541
244406484, 542
676079169, 543
675562732, 544
100661723, 545
100537667, 546
217835757, 547
704900574, 548
560833701, 549
676040236, 550
243688797, 551
100548452, 552
560793333, 553
244501435, 554
675916882, 555
100399345, 556
244535800, 557
561324686, 558
214914731, 559
100423867, 560
560837083, 561
129292725, 562
214580450, 563
98478565, 564
215702759, 565
244692422, 566
675929605, 567
244527193, 568
215113263, 569
589668124, 570
676175027, 571
215706099, 572
129385761, 573
704696372, 574
675820603, 575
590695063, 576
590099944, 577
244795990, 578
100629334, 579
127851403, 580
675915333, 581
676186713, 582
100473845, 583
100582003, 584
215706966, 585
216001867, 586
704741275, 587
705976418, 588
215707592, 589
589595480, 590
128366936, 591
675836355, 592
215740240, 593
704647620, 594
244451598, 595
560510618, 596
244452992, 597
129403077, 598
587644231, 599
99875140, 600
215706905, 601
560537093, 602
100661718, 603
129413358, 604
129109899, 605
100646700, 606
100662911, 607
676298676, 608
215913148, 609
215654607, 610
215706906, 611
675879174, 612
129124908, 613
558736102, 614
215624373, 615
675346226, 616
215971295, 617
99847442, 618
215516247, 619
244500668, 620
244698903, 621
704882809, 622
100362294, 623
100663052, 624
704668991, 625
215688170, 626
589333488, 627
100661684, 628
100608883, 629
99307060, 630
587528824, 631
678010919, 632
561377538, 633
560729398, 634
706025544, 635
217794830, 636
128085865, 637
704821795, 638
100660787, 639
560783966, 640
100396818, 641
244476558, 642
129417875, 643
217655411, 644
676024570, 645
100196705, 646
675640098, 647
129377835, 648
99824179, 649
244465062, 650
560980931, 651
217788878, 652
675815715, 653
215705231, 654
100480977, 655
100280157, 656
560891712, 657
215706900, 658
215969623, 659
705020902, 660
98564658, 661
244486972, 662
129352480, 663
215707423, 664
215841135, 665
215951291, 666
100658507, 667
100373032, 668
215710758, 669
558684183, 670
100659605, 671
217805021, 672
244790244, 673
589317087, 674
560306887, 675
590610659, 676
590745823, 677
560908404, 678
675546791, 679
243753560, 680
705021117, 681
675300062, 682
589599140, 683
100275987, 684
100660082, 685
675919066, 686
589698683, 687
98561278, 688
99604645, 689
243419623, 690
100603125, 691
561813059, 692
675918946, 693
244780638, 694
100621944, 695
217808464, 696
243928705, 697
215689919, 698
129052786, 699
